Абрамов Август Германович,97000,182,3560.0,50,76,107,58,100
Абрамов Викентий Бориславович,74000,177,3850.0,47,61,109,97,50
Абрамов Епифан Юлианович,71000,165,3820.0,43,76,125,59,30
Абрамов Милан Дорофеевич,82000,160,3600.0,38,86,120,69,90
Абрамов Мирослав Якубович,46000,187,3950.0,45,69,125,100,70
Абрамов Митофан Ануфриевич,63000,181,3960.0,46,67,123,65,30
Абрамов Потап Бориславович,49000,176,3530.0,42,68,115,96,110
Абрамова Виктория Эдуардовна,93000,189,2930.0,31,70,125,54,60
Абрамова Любовь Ильинична,58000,166,2950.0,29,86,112,54,40
Абрамова Милица Васильевна,92000,170,2740.0,27,62,108,89,110
Абрамова Оксана Захаровна,69000,175,2560.0,25,88,122,74,110
Август Артёмович Исаев,99000,157,3570.0,47,63,136,65,40
Август Бенедиктович Пахомов,52000,191,3630.0,45,89,138,98,60
Август Елизарович Петухов,78000,164,3820.0,40,75,111,80,40
Август Игнатович Степанов,80000,183,3730.0,39,86,107,63,70
Август Исидорович Фролов,68000,160,3740.0,45,78,135,54,40
Август Эдуардович Туров,46000,185,3840.0,36,88,117,82,100
Авдеев Исидор Федотович,93000,179,3960.0,38,90,106,79,120
Авдеев Кирилл Авдеевич,76000,159,3590.0,37,74,117,55,80
Авдеев Рюрик Ильич,64000,183,3730.0,45,70,137,81,80
Авдеев Севастьян Фокич,68000,170,3970.0,45,68,120,56,90
Авдеев Фока Ярославович,97000,159,3880.0,42,62,115,62,60
Авдеева Акулина Сергеевна,97000,178,2660.0,33,90,103,51,40
Авдеева Акулина Юрьевна,54000,169,2970.0,31,60,122,94,120
Авдеева Зинаида Олеговна,66000,164,2840.0,29,80,129,67,100
Авдеева Маргарита Богдановна,92000,170,2920.0,26,83,132,92,60
Авдеева Надежда Кирилловна,97000,189,2860.0,33,63,107,87,50
Авдеева Полина Ждановна,99000,172,2820.0,30,63,125,52,120
Авдей Авдеевич Александров,62000,168,3500.0,42,81,119,79,90
Авдей Адрианович Мельников,48000,173,3730.0,49,84,125,96,30
Авдей Гавриилович Зимин,93000,160,3640.0,39,77,128,53,30
Авдей Харитонович Блинов,100000,185,3720.0,49,70,102,87,40
Авдей Чеславович Дроздов,46000,156,3530.0,40,86,138,89,80
Аверкий Ефимьевич Тимофеев,88000,175,3890.0,43,61,106,94,80
Аверкий Трифонович Уваров,54000,179,3900.0,46,77,130,51,30
Аверьян Венедиктович Назаров,54000,159,3830.0,37,83,112,59,50
Аверьян Игоревич Коновалов,81000,177,3900.0,46,60,101,73,110
Аверьян Марсович Селиверстов,70000,169,3800.0,49,77,101,90,90
Аверьян Федотович Кудряшов,58000,163,3550.0,43,64,120,68,70
Аверьян Фёдорович Бобров,50000,179,3550.0,35,77,130,70,90
Авксентий Валерианович Лебедев,92000,194,3590.0,45,69,129,95,40
Авксентий Жанович Якушев,60000,166,3800.0,43,81,131,54,110
Авксентий Ильич Куликов,77000,166,3590.0,42,63,103,52,30
Авксентий Харлампьевич Крюков,94000,192,3850.0,37,77,131,58,40
Автоном Геннадиевич Смирнов,78000,180,3920.0,38,84,103,90,80
